Influencer Level,N,Hiring Cost,Buyers,Outreach
1,2,65.99,5755,43181
2,3,67.73,4867,35081
3,7,67.89,5575,39095
4,21,67.98,5705,40701
5,77,67.99,6848,45534
6,507,67.99,6930,46539
1,2,65.99,5709,41499
2,4,67.65,6363,43563
3,7,67.67,6147,41346
4,23,68,6768,43412
5,83,67.98,6290,42108
6,559,68,6686,46344
1,2,65.99,5548,42627
2,4,68,5614,39445
3,6,67.99,6412,44567
4,23,67.95,6935,43974
5,75,67.99,6873,43133
6,515,68,6921,46472
1,2,65.99,5741,43138
2,4,68,5602,39605
3,7,67.96,6183,44292
4,23,67.98,6754,43179
5,75,68,7159,43338
6,526,68,6729,45583
1,2,65.99,5337,39763
2,3,67.41,6594,44822
3,8,67.98,6009,41404
4,20,68,6477,41511
5,76,67.99,7120,43583
6,538,67.99,7046,46504
1,2,65.99,5643,43299
2,3,67.97,3742,27367
3,8,67.99,6281,44025
4,23,68,7010,45107
5,80,67.98,6407,42456
6,525,67.99,6719,47202
1,2,65.99,5836,45135
2,3,67.97,4251,32976
3,7,67.84,6741,45209
4,22,67.99,6359,41913
5,80,67.99,6840,43008
6,493,68,6442,44327
1,2,65.99,5562,41917
2,3,67.5,6311,43873
3,7,68,6791,43011
4,22,68,6732,43645
5,81,67.99,6843,44565
6,554,67.99,6935,46609
1,2,65.99,5044,39968
2,3,67.73,4676,31149
3,8,68,6867,45250
4,23,67.98,5888,38460
5,71,68,6538,43213
6,539,67.99,6990,46221
1,2,65.99,5268,41133
2,4,67.48,5575,40132
3,8,67.93,5970,41328
4,22,68,6450,44577
5,76,68,7022,44705
6,557,67.99,7080,47119
