Influencer Level,N,Hiring Cost,Buyers,Outreach
1,2,199.77,37690,66528
2,4,199.72,34554,65997
3,7,199.92,37320,66410
4,15,199.789999999999,36619,66161
5,28,199.99,36490,66255
6,337,199.99,38630,66560
1,2,198.42,37260,66180
2,4,199.42,36418,66187
3,7,199.95,36513,66269
4,14,200,35986,66401
5,28,199.86,35645,66012
6,356,199.98,37721,66322
1,2,199.77,37874,66174
2,4,199.49,36674,66329
3,6,199.89,36420,66255
4,13,199.96,37437,66338
5,29,199.909999999999,36667,66032
6,383,199.999999999999,38695,66686
1,2,199.94,37636,66632
2,4,199.87,36712,66235
3,7,199.83,36851,66222
4,14,199.62,36932,66028
5,29,199.93,37107,66381
6,321,199.999999999999,38251,66311
1,2,199.77,37714,66489
2,3,199.6,37243,66434
3,7,199.02,36402,66041
4,13,199.98,35555,66144
5,29,199.959999999999,36300,66290
6,384,199.999999999999,38594,66423
1,2,199.77,37836,66521
2,4,198.75,35602,65816
3,7,199.91,36402,66327
4,13,199.88,36196,65858
5,29,199.99,36840,66163
6,350,199.99,38295,66428
1,2,199,37761,66405
2,4,199.83,36076,66078
3,7,199.95,36984,66378
4,13,199.9,35702,66012
5,28,199.96,36260,66390
6,360,199.99,38700,66464
1,2,199.94,37870,66696
2,4,199.36,35644,65937
3,7,199.74,34905,65740
4,13,199.98,36920,66106
5,28,200,36708,66326
6,326,199.99,38461,66506
1,2,199.77,37728,66571
2,4,199.96,35386,65985
3,7,199.78,36682,66350
4,14,199.84,37102,66406
5,30,199.91,36706,66390
6,347,200,38761,66604
1,2,199.94,37526,66411
2,4,199.55,36250,66077
3,7,199.85,36358,66203
4,14,199.86,36762,66474
5,29,199.9,37285,66586
6,341,199.999999999999,38677,66458

