Influencer Level,N,Hiring Cost,Buyers,Outreach
1,2,65.99,336,10233
2,3,67.97,389,12186
3,7,67.97,458,15952
4,23,67.99,472,20016
5,81,67.99,377,13564
6,532,67.99,343,15161
1,2,65.99,391,14033
2,3,67.97,344,9325
3,7,67.96,485,18517
4,21,68,456,17392
5,78,67.98,346,11164
6,522,67.99,339,14026
1,2,65.99,380,12683
2,4,67.89,426,15669
3,7,67.97,332,8761
4,21,67.99,353,12114
5,78,68,360,14375
6,558,67.99,357,15892
1,2,65.99,446,13566
2,4,67.89,455,18290
3,8,67.85,468,17121
4,21,67.97,437,16299
5,79,68,419,17175
6,535,68,367,16705
1,2,65.99,395,12934
2,4,67.89,371,12779
3,7,67.93,409,14175
4,25,67.99,413,16939
5,78,68,465,16891
6,564,67.99,311,13403
1,2,65.99,372,12684
2,3,67.73,373,11654
3,6,67.76,412,15271
4,22,67.98,404,13137
5,75,67.98,495,18310
6,534,67.99,391,18311
1,2,65.99,404,12213
2,4,68,344,11859
3,7,67.96,376,11682
4,24,67.97,398,16645
5,78,68,426,16457
6,555,67.99,355,16950
1,2,65.99,410,14909
2,3,67.88,322,8222
3,7,67.86,435,15678
4,22,67.99,451,16175
5,81,68,340,15801
6,492,68,299,13744
1,2,65.99,451,13266
2,3,67.97,352,8894
3,7,67.85,338,9458
4,22,67.96,400,13496
5,78,68,418,15305
6,517,67.99,333,15163
1,2,65.99,343,11603
2,4,68,391,13407
3,7,67.9,467,14886
4,23,67.95,376,14232
5,81,68,349,15852
6,540,67.99,392,16976
