Influencer Level,N,Hiring Cost,Buyers,Outreach
1,2,199.0,1279,39289
2,4,199.54000000000002,1145,35881
3,7,199.54,1181,38905
4,14,199.99,989,33674
5,28,199.80000000000004,1042,32902
6,365,199.99999999999991,1345,42503
1,2,199.0,1380,39177
2,4,199.79,900,29847
3,7,199.32,1104,34315
4,13,199.92999999999998,1018,32547
5,28,199.93,1002,36080
6,359,199.99000000000004,1222,36902
1,2,198.13,1305,39702
2,4,199.07,1124,38396
3,7,199.59,834,33887
4,14,199.6,865,29780
5,29,199.89999999999995,1171,35033
6,384,200.0,1149,40453
